numero_client,nom,prenom,sexe,date_naissance,email,telephone_mobile,adresse,code_postal,ville,iban,num_secu,statut_compte_courant,duree_credit_mois,historique_credit,objet_credit,montant_credit,epargne,anciennete_emploi,taux_effort,statut_personnel_sexe,autres_debiteurs,anciennete_logement,biens,age,autres_credits,logement,nb_credits_existants,emploi,nb_personnes_charge,telephone_declare,travailleur_etranger,defaut
FIN-100527,Buisson,Luc,M,1983-03-15,luc.buisson@outlook.fr,0646498931,rue de Gaudin,55284,Henry,FR0535364235700412918285181,137104700146624,pas de compte courant,4,compte critique / crédits ailleurs,électroménager,1503,,4-7 ans,2,homme : célibataire,aucun,1,immobilier,42,aucun,propriétaire,2,non qualifié résident,2,non,oui,0
FIN-100359,Marty,Anastasie,F,2002-06-12,anastasie.marty@free.fr,0602203173,"4, rue Marianne Joubert",11446,Sainte Virginie-les-Bains,FR8084886008017986778231299,222078002123283,solde < 100,30,crédits en cours sans incident,audiovisuel,2406,épargne < 100,4-7 ans,4,femme : divorcée/séparée/mariée,aucun,4,immobilier,23,aucun,locataire,1,employé qualifié,1,non,oui,1
FIN-100447,Diaz,Christophe,M,1990-04-18,christophe.diaz@outlook.fr,0747733294,"90, boulevard Suzanne Grégoire",93526,Mace-les-Bains,FR0391330303346771167507627,156053306383572,solde 100-200,7,crédits en cours sans incident,électroménager,2576,épargne < 100,1-4 ans,2,homme : célibataire,garant,2,immobilier,35,aucun,propriétaire,1,employé qualifié,1,non,oui,0
FIN-100031,Dumas,Vincent,M,25/11/1998,vincent.dumas@gmail.com,0669378547,"542, boulevard de Morin",37368,Gosselin-sur-Mer,FR1620368499515421447732449,110018816017777,solde < 100,24,crédits en cours sans incident,audiovisuel,4020,épargne < 100,1-4 ans,2,homme : célibataire,aucun,2,véhicule ou autre,27,magasins,propriétaire,1,employé qualifié,1,non,oui,0
FIN-100621,Coste,Jérôme,M,1993-08-22,jérôme.coste@orange.fr,0672063459,"68, rue de Joubert",86226,Alves,FR4652632119604722053970774,174046613642691,pas de compte courant,18,compte critique / crédits ailleurs,voiture neuve,1530,,1-4 ans,3,homme : célibataire,aucun,2,épargne logement/assurance vie,32,banque,propriétaire,2,employé qualifié,1,non,oui,1
FIN-100590,Prévost,Monique,F,1967-05-21,monique.prévost@orange.fr,0788977828,boulevard de Dijoux,72171,TexierBourg,FR5065385906739634289876055,161059300892162,solde < 100,12,compte critique / crédits ailleurs,électroménager,385,,4-7 ans,4,femme : divorcée/séparée/mariée,aucun,3,immobilier,58,aucun,propriétaire,4,non qualifié résident,1,oui,oui,0
FIN-100905,Le Roux,Denis,M,03.07.2005,denis.le-roux@free.fr,0693106684,"35, chemin Alves",50333,lagarde,FR1697442036078548330958723,113077218160282,solde < 100,12,crédits en cours sans incident,électroménager,1107,épargne < 100,1-4 ans,2,homme : célibataire,aucun,2,immobilier,20,aucun,locataire,1,cadre / indépendant,2,oui,oui,0
FIN-100737,Lebrun,Augustin,M,1990-06-10,augustin.lebrun@free.fr,0743173505,"87, rue Meunier",75908,Prévost-les-Bains,FR5120945167670636328630112,204086912321083,solde < 100,18,crédits en cours sans incident,voiture neuve,4380,,1-4 ans,3,homme : célibataire,aucun,4,véhicule ou autre,35,aucun,propriétaire,1,non qualifié résident,2,oui,oui,0
FIN-100076,Normand,Bertrand,M,1991-10-14,bertrand.normand@free.fr,0678282742,"14, chemin Duhamel",55268,Prévost,FR6385138544577029929596604,243090718682969,solde < 100,42,crédits en cours sans incident,électroménager,3965,,< 1 an,4,homme : célibataire,aucun,3,véhicule ou autre,34,aucun,propriétaire,1,employé qualifié,1,non,oui,1
FIN-100948,Dos Santos,Thibaut,M,1982-06-17,thibaut.dos-santos@gmail.com,0750191792,"82, rue Thierry Auger",21206,Saint Colette-les-Bains,FR6248698948481703610077017,180109720948211,pas de compte courant,18,crédits en cours sans incident,audiovisuel,1533,épargne < 100,< 1 an,4,homme : marié/veuf,co-emprunteur,1,épargne logement/assurance vie,43,aucun,propriétaire,1,non qualifié résident,2,non,oui,1
